Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
6/20/23,06:22:23,4.2,14.02,-92.35,98.6,"76 km al SUROESTE de CD HIDALGO, CHIS ",20/06/2023,12:22:23,verificado
6/21/23,01:11:29,4,16.14,-93.89,103.6,"11 km al SUR de ARRIAGA , CHIS ",21/06/2023,07:11:29,verificado
6/22/23,00:55:29,4.1,27.3,-105.65,7,"41 km al NORTE de HIDALGO DEL PARRAL, CHIH ",22/06/2023,06:55:29,verificado
6/23/23,02:13:33,4.1,16.52,-93.73,135.1,"19 km al SUR de CINTALAPA, CHIS ",23/06/2023,08:13:33,verificado
6/24/23,01:57:27,4.2,16.05,-98.35,8.2,"45 km al SUROESTE de PINOTEPA NACIONAL, OAX ",24/06/2023,07:57:27,verificado
6/25/23,00:58:47,4,17.1,-100,30.8,"14 km al NORESTE de COYUCA DE BENITEZ, GRO ",25/06/2023,06:58:47,verificado
6/26/23,01:45:34,4,17.06,-95.43,112.5,"46 km al NOROESTE de MATIAS ROMERO, OAX ",26/06/2023,07:45:34,verificado
6/27/23,02:07:23,4,15.16,-93.94,14.1,"97 km al SUROESTE de PIJIJIAPAN, CHIS ",27/06/2023,08:07:23,verificado
6/28/23,01:03:04,4.1,15.24,-94.83,16.9,"111 km al SURESTE de SALINA CRUZ, OAX ",28/06/2023,07:03:04,verificado
6/29/23,03:49:24,4,16,-95.22,2.9,"20 km al SUR de SALINA CRUZ, OAX ",29/06/2023,09:49:24,verificado
6/30/23,00:30:52,4,18.46,-102.91,14.5,"44 km al SURESTE de COALCOMAN, MICH ",30/06/2023,06:30:52,verificado
7/1/23,00:07:19,4,16.96,-94.36,135.9,"73 km al ESTE de MATIAS ROMERO, OAX ",01/07/2023,06:07:19,verificado
7/2/23,01:01:53,4.1,16.04,-98.67,16.2,"74 km al SUROESTE de PINOTEPA NACIONAL, OAX ",02/07/2023,07:01:53,verificado
7/3/23,06:11:54,4,16.76,-100.18,7.4,"29 km al SUROESTE de COYUCA DE BENITEZ, GRO ",03/07/2023,12:11:54,verificado
7/4/23,02:46:14,4,16.62,-94.45,119.2,"43 km al NORESTE de UNION HIDALGO, OAX ",04/07/2023,08:46:14,verificado
7/5/23,01:28:37,4.2,20.02,-106.82,16,"179 km al SUROESTE de PUERTO VALLARTA, JAL ",05/07/2023,07:28:37,verificado
7/6/23,00:00:44,4,25.74,-110.2,15,"105 km al OESTE de AHOME, SIN ",06/07/2023,06:00:44,verificado
7/7/23,02:37:03,4.1,16.81,-94.11,140.6,"44 km al NOROESTE de CINTALAPA, CHIS ",07/07/2023,08:37:03,verificado
7/8/23,03:54:43,4.2,19.56,-92.48,10,"114 km al NORTE de FRONTERA, TAB ",08/07/2023,09:54:43,verificado
7/9/23,09:26:18,4.2,27.69,-111.74,11.1,"65 km al NORESTE de SANTA ROSALIA, BCS ",09/07/2023,15:26:18,verificado
7/10/23,00:54:11,4.1,17.11,-101.16,16.1,"49 km al SUR de PETATLAN, GRO ",10/07/2023,06:54:11,verificado
7/11/23,00:01:22,4.1,17.05,-93.9,148.8,"44 km al NOROESTE de CINTALAPA, CHIS ",11/07/2023,06:01:22,verificado
7/12/23,12:01:17,4.2,15.27,-93.9,38.4,"87 km al SUROESTE de PIJIJIAPAN, CHIS ",12/07/2023,18:01:17,verificado
7/13/23,22:27:10,4,15.59,-93.51,95.5,"34 km al SUROESTE de PIJIJIAPAN, CHIS ",14/07/2023,04:27:10,verificado
